FO_name;Subj_Name;Col_num;1;2;3;4;5;6
ДВФО;Амурская область;3;19427;11625;18058;10919;1369;706
ДВФО;Амурская область;4;1423;612;1172;477;251;135
ДВФО;Амурская область;5;1978;919;1779;823;199;96
ДВФО;Амурская область;6;2850;1355;2611;1195;239;160
ДВФО;Амурская область;7;3236;1430;3005;1307;231;123
ДВФО;Амурская область;8;2804;1788;2642;1712;162;76
ДВФО;Амурская область;9;2594;1934;2432;1864;162;70
ДВФО;Амурская область;10;1823;1490;1748;1463;75;27
ДВФО;Амурская область;11;1403;1112;1363;1101;40;11
ДВФО;Амурская область;12;816;641;809;634;7;7
ДВФО;Амурская область;13;500;344;497;343;3;1
ДВФО;Еврейская автономная область;3;3362;2712;2862;2341;500;371
ДВФО;Еврейская автономная область;4;186;117;102;68;84;49
ДВФО;Еврейская автономная область;5;253;166;187;129;66;37
ДВФО;Еврейская автономная область;6;320;204;251;166;69;38
ДВФО;Еврейская автономная область;7;373;313;305;252;68;61
ДВФО;Еврейская автономная область;8;634;552;556;488;78;64
ДВФО;Еврейская автономная область;9;557;474;517;435;40;39
ДВФО;Еврейская автономная область;10;452;374;420;347;32;27
ДВФО;Еврейская автономная область;11;290;260;258;231;32;29
ДВФО;Еврейская автономная область;12;189;165;171;150;18;15
ДВФО;Еврейская автономная область;13;108;87;95;75;13;12
ДВФО;Забайкальский край;3;26802;19105;23304;16556;3498;2549
ДВФО;Забайкальский край;4;1534;1068;1074;752;460;316
ДВФО;Забайкальский край;5;3103;2041;2700;1749;403;292
ДВФО;Забайкальский край;6;3786;2542;3174;2104;612;438
ДВФО;Забайкальский край;7;4511;3042;3834;2569;677;473
ДВФО;Забайкальский край;8;3836;2775;3365;2423;471;352
ДВФО;Забайкальский край;9;3546;2395;3158;2086;388;309
ДВФО;Забайкальский край;10;2973;2495;2695;2275;278;220
ДВФО;Забайкальский край;11;1964;1602;1821;1492;143;110
ДВФО;Забайкальский край;12;1018;796;980;776;38;20
ДВФО;Забайкальский край;13;531;349;503;330;28;19
ДВФО;Камчатский край;3;18605;9206;17698;8607;907;599
ДВФО;Камчатский край;4;2514;1147;2208;916;306;231
ДВФО;Камчатский край;5;1828;824;1693;720;135;104
ДВФО;Камчатский край;6;2749;1156;2606;1068;143;88
ДВФО;Камчатский край;7;2879;1141;2800;1097;79;44
ДВФО;Камчатский край;8;2895;1363;2804;1297;91;66
ДВФО;Камчатский край;9;2000;1299;1918;1261;82;38
ДВФО;Камчатский край;10;1614;914;1581;893;33;21
ДВФО;Камчатский край;11;1214;676;1195;672;19;4
ДВФО;Камчатский край;12;578;415;562;413;16;2
ДВФО;Камчатский край;13;334;271;331;270;3;1
ДВФО;Магаданская область;3;4941;3686;4712;3561;229;125
ДВФО;Магаданская область;4;152;116;131;97;21;19
ДВФО;Магаданская область;5;428;327;402;308;26;19
ДВФО;Магаданская область;6;566;370;530;350;36;20
ДВФО;Магаданская область;7;699;498;662;480;37;18
ДВФО;Магаданская область;8;769;551;721;524;48;27
ДВФО;Магаданская область;9;785;664;753;652;32;12
ДВФО;Магаданская область;10;667;447;653;441;14;6
ДВФО;Магаданская область;11;452;352;443;352;9;0
ДВФО;Магаданская область;12;263;211;259;208;4;3
ДВФО;Магаданская область;13;160;150;158;149;2;1
ДВФО;Приморский край;3;58488;29871;53539;26812;4949;3059
ДВФО;Приморский край;4;7067;3251;6051;2643;1016;608
ДВФО;Приморский край;5;6571;3041;5955;2596;616;445
ДВФО;Приморский край;6;8082;3141;7212;2635;870;506
ДВФО;Приморский край;7;7986;3660;7263;3227;723;433
ДВФО;Приморский край;8;7477;4196;6940;3857;537;339
ДВФО;Приморский край;9;7165;3977;6611;3633;554;344
ДВФО;Приморский край;10;5703;3422;5370;3229;333;193
ДВФО;Приморский край;11;4504;2531;4342;2424;162;107
ДВФО;Приморский край;12;2638;1790;2551;1736;87;54
ДВФО;Приморский край;13;1295;862;1244;832;51;30
ДВФО;Республика Бурятия;3;12255;8458;8863;6157;3392;2301
ДВФО;Республика Бурятия;4;958;642;618;400;340;242
ДВФО;Республика Бурятия;5;1116;728;718;491;398;237
ДВФО;Республика Бурятия;6;2065;1403;1451;1010;614;393
ДВФО;Республика Бурятия;7;2139;1483;1589;1095;550;388
ДВФО;Республика Бурятия;8;2250;1608;1670;1185;580;423
ДВФО;Республика Бурятия;9;1840;1368;1265;935;575;433
ДВФО;Республика Бурятия;10;911;567;699;444;212;123
ДВФО;Республика Бурятия;11;537;358;463;315;74;43
ДВФО;Республика Бурятия;12;263;172;229;160;34;12
ДВФО;Республика Бурятия;13;176;129;161;122;15;7
ДВФО;Республика Саха (Якутия);3;40860;27270;37536;25173;3324;2097
ДВФО;Республика Саха (Якутия);4;2490;1423;2048;1179;442;244
ДВФО;Республика Саха (Якутия);5;4567;2894;3971;2538;596;356
ДВФО;Республика Саха (Якутия);6;7640;4000;6855;3498;785;502
ДВФО;Республика Саха (Якутия);7;5701;3901;5262;3642;439;259
ДВФО;Республика Саха (Якутия);8;5619;4288;5288;4058;331;230
ДВФО;Республика Саха (Якутия);9;4666;3417;4403;3236;263;181
ДВФО;Республика Саха (Якутия);10;4199;3115;3962;2940;237;175
ДВФО;Республика Саха (Якутия);11;3501;2435;3328;2329;173;106
ДВФО;Республика Саха (Якутия);12;1734;1230;1685;1192;49;38
ДВФО;Республика Саха (Якутия);13;743;567;734;561;9;6
ДВФО;Сахалинская область;3;26085;8597;25038;8072;1047;525
ДВФО;Сахалинская область;4;1227;465;1144;415;83;50
ДВФО;Сахалинская область;5;2709;973;2585;897;124;76
ДВФО;Сахалинская область;6;3964;1370;3730;1244;234;126
ДВФО;Сахалинская область;7;4277;1442;4049;1315;228;127
ДВФО;Сахалинская область;8;3575;1374;3441;1314;134;60
ДВФО;Сахалинская область;9;3240;1110;3127;1066;113;44
ДВФО;Сахалинская область;10;3401;783;3346;760;55;23
ДВФО;Сахалинская область;11;2699;612;2648;597;51;15
ДВФО;Сахалинская область;12;758;310;739;306;19;4
ДВФО;Сахалинская область;13;235;158;229;158;6;0
ДВФО;Хабаровский край;3;70418;40516;63987;37246;6431;3270
ДВФО;Хабаровский край;4;5081;3297;4320;2902;761;395
ДВФО;Хабаровский край;5;6809;3819;6056;3411;753;408
ДВФО;Хабаровский край;6;10254;5293;9148;4783;1106;510
ДВФО;Хабаровский край;7;11708;5582;10556;5051;1152;531
ДВФО;Хабаровский край;8;11179;6146;10134;5626;1045;520
ДВФО;Хабаровский край;9;10003;5829;9195;5427;808;402
ДВФО;Хабаровский край;10;6278;4118;5814;3822;464;296
ДВФО;Хабаровский край;11;4532;3167;4312;3032;220;135
ДВФО;Хабаровский край;12;2859;2041;2790;1997;69;44
ДВФО;Хабаровский край;13;1715;1224;1662;1195;53;29
ДВФО;Чукотский автономный округ;3;1895;1368;1895;1368;0;0
ДВФО;Чукотский автономный округ;4;49;32;49;32;0;0
ДВФО;Чукотский автономный округ;5;122;79;122;79;0;0
ДВФО;Чукотский автономный округ;6;413;183;413;183;0;0
ДВФО;Чукотский автономный округ;7;269;222;269;222;0;0
ДВФО;Чукотский автономный округ;8;406;271;406;271;0;0
ДВФО;Чукотский автономный округ;9;218;200;218;200;0;0
ДВФО;Чукотский автономный округ;10;163;139;163;139;0;0
ДВФО;Чукотский автономный округ;11;143;136;143;136;0;0
ДВФО;Чукотский автономный округ;12;76;72;76;72;0;0
ДВФО;Чукотский автономный округ;13;36;34;36;34;0;0
ПФО;Кировская область;3;36858;18322;30514;16206;6344;2116
ПФО;Кировская область;4;2116;1156;1164;689;952;467
ПФО;Кировская область;5;5204;1567;4146;1288;1058;279
ПФО;Кировская область;6;7150;3027;5875;2619;1275;408
ПФО;Кировская область;7;6393;3362;5231;2982;1162;380
ПФО;Кировская область;8;5645;3175;4752;2894;893;281
ПФО;Кировская область;9;4439;2422;3978;2261;461;161
ПФО;Кировская область;10;2771;1577;2461;1469;310;108
ПФО;Кировская область;11;1793;1178;1672;1153;121;25
ПФО;Кировская область;12;868;579;758;573;110;6
ПФО;Кировская область;13;479;279;477;278;2;1
ПФО;Нижегородская область;3;104764;72285;94969;66064;9795;6221
ПФО;Нижегородская область;4;10329;6370;8156;4866;2173;1504
ПФО;Нижегородская область;5;10723;7266;9537;6484;1186;782
ПФО;Нижегородская область;6;15210;9465;13303;8482;1907;983
ПФО;Нижегородская область;7;14947;10217;13478;9336;1469;881
ПФО;Нижегородская область;8;14015;9580;12949;8904;1066;676
ПФО;Нижегородская область;9;13002;9826;12265;9320;737;506
ПФО;Нижегородская область;10;10481;7212;10099;6949;382;263
ПФО;Нижегородская область;11;8057;6088;7830;5939;227;149
ПФО;Нижегородская область;12;4598;3635;4088;3233;510;402
ПФО;Нижегородская область;13;3402;2626;3264;2551;138;75
ПФО;Оренбургская область;3;85658;34242;76927;29324;8731;4918
ПФО;Оренбургская область;4;5334;2153;4069;1365;1265;788
ПФО;Оренбургская область;5;11875;3038;10837;2514;1038;524
ПФО;Оренбургская область;6;12997;5173;11586;4449;1411;724
ПФО;Оренбургская область;7;14192;5586;12665;4796;1527;790
ПФО;Оренбургская область;8;14126;5752;12857;5030;1269;722
ПФО;Оренбургская область;9;12423;5527;11433;4945;990;582
ПФО;Оренбургская область;10;8017;3485;7406;3120;611;365
ПФО;Оренбургская область;11;4327;2349;3926;2069;401;280
ПФО;Оренбургская область;12;1747;849;1593;752;154;97
ПФО;Оренбургская область;13;620;330;555;284;65;46
ПФО;Пензенская область;3;54660;26577;45245;22370;9415;4207
ПФО;Пензенская область;4;3508;1488;2493;973;1015;515
ПФО;Пензенская область;5;6998;3081;5704;2566;1294;515
ПФО;Пензенская область;6;9367;4089;7922;3481;1445;608
ПФО;Пензенская область;7;8189;4496;6262;3579;1927;917
ПФО;Пензенская область;8;8138;4053;6557;3183;1581;870
ПФО;Пензенская область;9;7623;3937;6725;3593;898;344
ПФО;Пензенская область;10;5296;2444;4633;2220;663;224
ПФО;Пензенская область;11;3242;1799;2915;1660;327;139
ПФО;Пензенская область;12;1647;924;1458;872;189;52
ПФО;Пензенская область;13;652;266;576;243;76;23
ПФО;Пермский край;3;171829;82773;154548;72473;17281;10300
ПФО;Пермский край;4;12258;4572;10475;3479;1783;1093
ПФО;Пермский край;5;18044;8841;15923;7551;2121;1290
ПФО;Пермский край;6;25174;11661;22551;10191;2623;1470
ПФО;Пермский край;7;30078;13655;27011;11994;3067;1661
ПФО;Пермский край;8;36706;16320;33919;14572;2787;1748
ПФО;Пермский край;9;19710;11385;17600;10221;2110;1164
ПФО;Пермский край;10;15861;7897;14384;6966;1477;931
ПФО;Пермский край;11;9592;5427;8659;4718;933;709
ПФО;Пермский край;12;3179;2173;2895;1981;284;192
ПФО;Пермский край;13;1227;842;1131;800;96;42
ПФО;Республика Башкортостан;3;134994;71708;119952;64386;15042;7322
ПФО;Республика Башкортостан;4;9812;5108;7333;4008;2479;1100
ПФО;Республика Башкортостан;5;17185;9144;15281;8105;1904;1039
ПФО;Республика Башкортостан;6;21702;10524;19551;9430;2151;1094
ПФО;Республика Башкортостан;7;22596;11922;20306;10588;2290;1334
ПФО;Республика Башкортостан;8;21725;12303;19751;11251;1974;1052
ПФО;Республика Башкортостан;9;18178;8791;16726;8073;1452;718
ПФО;Республика Башкортостан;10;11201;6867;9946;6255;1255;612
ПФО;Республика Башкортостан;11;7205;4341;6469;4095;736;246
ПФО;Республика Башкортостан;12;3539;1848;3156;1778;383;70
ПФО;Республика Башкортостан;13;1851;860;1433;803;418;57
ПФО;Республика Марий Эл;3;38030;19732;33372;17311;4658;2421
ПФО;Республика Марий Эл;4;2070;1097;1589;746;481;351
ПФО;Республика Марий Эл;5;3341;1700;2765;1372;576;328
ПФО;Республика Марий Эл;6;5481;2814;4781;2506;700;308
ПФО;Республика Марий Эл;7;7153;4390;6293;3910;860;480
ПФО;Республика Марий Эл;8;6543;3454;5923;3120;620;334
ПФО;Республика Марий Эл;9;5557;2763;5058;2514;499;249
ПФО;Республика Марий Эл;10;3941;1980;3570;1794;371;186
ПФО;Республика Марий Эл;11;2713;1071;2421;969;292;102
ПФО;Республика Марий Эл;12;884;304;721;253;163;51
ПФО;Республика Марий Эл;13;347;159;251;127;96;32
ПФО;Республика Мордовия;3;57615;30328;53808;28520;3807;1808
ПФО;Республика Мордовия;4;3802;2792;2635;2089;1167;703
ПФО;Республика Мордовия;5;3795;1896;3427;1735;368;161
ПФО;Республика Мордовия;6;5759;2586;5383;2403;376;183
ПФО;Республика Мордовия;7;6649;3454;6228;3232;421;222
ПФО;Республика Мордовия;8;13104;6282;12587;6062;517;220
ПФО;Республика Мордовия;9;12128;7245;11590;7074;538;171
ПФО;Республика Мордовия;10;8771;3697;8446;3595;325;102
ПФО;Республика Мордовия;11;2548;1592;2466;1553;82;39
ПФО;Республика Мордовия;12;935;706;923;699;12;7
ПФО;Республика Мордовия;13;124;78;123;78;1;0
ПФО;Республика Татарстан;3;184470;105555;163403;92619;21067;12936
ПФО;Республика Татарстан;4;14951;7719;11269;5401;3682;2318
ПФО;Республика Татарстан;5;23739;13228;20831;11442;2908;1786
ПФО;Республика Татарстан;6;31711;17978;28008;15760;3703;2218
ПФО;Республика Татарстан;7;31419;18330;28027;16225;3392;2105
ПФО;Республика Татарстан;8;28571;16916;25560;14986;3011;1930
ПФО;Республика Татарстан;9;23003;13890;20799;12467;2204;1423
ПФО;Республика Татарстан;10;15126;9084;13932;8303;1194;781
ПФО;Республика Татарстан;11;9806;5222;9131;4950;675;272
ПФО;Республика Татарстан;12;3926;2139;3661;2051;265;88
ПФО;Республика Татарстан;13;2218;1049;2185;1034;33;15
